@W: CG1337 :"C:\Users\Lesc\Documents\LiberoProjects\prj_hamming_apb - TBEC_ RSC\hdl\Decoder_ip.v":23:7:23:14|Net write_en is not declared.
@W: CG1337 :"C:\Users\Lesc\Documents\LiberoProjects\prj_hamming_apb - TBEC_ RSC\hdl\Decoder_ip.v":24:7:24:13|Net read_en is not declared.
@W: CG1337 :"C:\Users\Lesc\Documents\LiberoProjects\prj_hamming_apb - TBEC_ RSC\hdl\adder_ip.v":24:7:24:14|Net write_en is not declared.
@W: CG1337 :"C:\Users\Lesc\Documents\LiberoProjects\prj_hamming_apb - TBEC_ RSC\hdl\adder_ip.v":25:7:25:13|Net read_en is not declared.
@W: CG100 :"C:\Users\Lesc\Documents\LiberoProjects\prj_hamming_apb - TBEC_ RSC\component\Actel\SgCore\OSC\2.0.101\osc_comps.v":4:13:4:25|User defined pragma syn_black_box detected
@W: CG100 :"C:\Users\Lesc\Documents\LiberoProjects\prj_hamming_apb - TBEC_ RSC\component\Actel\SgCore\OSC\2.0.101\osc_comps.v":14:13:14:25|User defined pragma syn_black_box detected
@W: CG100 :"C:\Users\Lesc\Documents\LiberoProjects\prj_hamming_apb - TBEC_ RSC\component\Actel\SgCore\OSC\2.0.101\osc_comps.v":27:13:27:25|User defined pragma syn_black_box detected
@W: CG100 :"C:\Users\Lesc\Documents\LiberoProjects\prj_hamming_apb - TBEC_ RSC\component\Actel\SgCore\OSC\2.0.101\osc_comps.v":43:13:43:25|User defined pragma syn_black_box detected
@W: CG100 :"C:\Users\Lesc\Documents\LiberoProjects\prj_hamming_apb - TBEC_ RSC\component\Actel\SgCore\OSC\2.0.101\osc_comps.v":55:13:55:25|User defined pragma syn_black_box detected
@W: CG100 :"C:\Users\Lesc\Documents\LiberoProjects\prj_hamming_apb - TBEC_ RSC\component\Actel\SgCore\OSC\2.0.101\osc_comps.v":67:13:67:25|User defined pragma syn_black_box detected
@W: CG100 :"C:\Users\Lesc\Documents\LiberoProjects\prj_hamming_apb - TBEC_ RSC\component\work\prj_hamming_apb_sb_MSS\prj_hamming_apb_sb_MSS_syn.v":496:13:496:25|User defined pragma syn_black_box detected
@W: CG296 :"C:\Users\Lesc\Documents\LiberoProjects\prj_hamming_apb - TBEC_ RSC\hdl\encoder.v":12:8:12:9|Incomplete sensitivity list; assuming completeness. Make sure all referenced variables in message CG290 are included in the sensitivity list.
@W: CG290 :"C:\Users\Lesc\Documents\LiberoProjects\prj_hamming_apb - TBEC_ RSC\hdl\encoder.v":14:16:14:22|Referenced variable data_in is not in sensitivity list.
@W: CG290 :"C:\Users\Lesc\Documents\LiberoProjects\prj_hamming_apb - TBEC_ RSC\hdl\encoder.v":20:11:20:16|Referenced variable signal is not in sensitivity list.
@W: CS263 :"C:\Users\Lesc\Documents\LiberoProjects\prj_hamming_apb - TBEC_ RSC\hdl\adder_ip.v":22:34:22:40|Port-width mismatch for port data_in. The port definition is 16 bits, but the actual port connection bit width is 32. Adjust either the definition or the instantiation of this port.
@W: CG296 :"C:\Users\Lesc\Documents\LiberoProjects\prj_hamming_apb - TBEC_ RSC\hdl\decoder.v":15:8:15:9|Incomplete sensitivity list; assuming completeness. Make sure all referenced variables in message CG290 are included in the sensitivity list.
@W: CG290 :"C:\Users\Lesc\Documents\LiberoProjects\prj_hamming_apb - TBEC_ RSC\hdl\decoder.v":17:17:17:23|Referenced variable data_in is not in sensitivity list.
@W: CG290 :"C:\Users\Lesc\Documents\LiberoProjects\prj_hamming_apb - TBEC_ RSC\hdl\decoder.v":22:14:22:19|Referenced variable signal is not in sensitivity list.
